Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Average
1865,-0.58,-1.27,0.49,1.50,-0.01,-0.28,0.06,-1.54,0.85,1.23,0.39,-2.97,-1.10,-0.98,-1.77,1.07,-0.37,1.10,,,-0.90,-0.93,0.14,-0.28
1855,-0.24,-1.25,0.65,-0.56,-0.85,-0.81,-0.07,-1.02,1.14,-0.32,-0.01,-0.12,1.29,0.28,-0.35,-1.37,-0.75,2.15,,,-1.77,-0.20,0.03,-0.20
1845,-0.84,-0.86,2.40,-0.54,-0.07,-0.61,-0.75,-0.73,2.69,0.12,0.54,-0.17,0.62,0.21,0.95,-0.48,-0.97,-0.03,,,-0.76,0.33,-1.18,-0.01
1835,-0.17,-0.48,2.59,0.56,0.67,0.43,0.21,-1.19,2.86,-0.48,-0.01,-1.55,-1.62,-0.86,-0.38,-1.09,-0.89,0.39,,,-1.28,-2.03,-2.04,-0.30
1825,0.52,-1.12,3.25,-0.23,-1.44,-0.89,0.21,-0.90,1.04,1.17,0.17,0.15,-0.10,0.39,-1.34,-1.05,-1.12,1.44,,,-0.40,-1.66,-1.94,-0.18
1815,-0.50,-1.28,0.08,-0.19,-0.76,-0.57,-0.13,-0.76,-0.81,-0.27,-1.43,-1.57,-0.07,0.34,-2.11,-0.28,-0.56,-0.93,,,0.11,-2.63,-1.89,-0.77
1805,-0.44,-0.93,1.94,0.20,-0.25,-0.10,-0.68,-3.04,0.94,-1.15,-0.54,1.84,1.18,1.15,-0.24,-0.47,-1.28,-0.90,,,-0.07,-0.34,0.07,-0.15
1795,0.82,-1.04,2.46,-0.38,-0.45,1.53,0.49,-2.35,1.56,-1.48,-0.83,-0.38,-0.03,1.26,0.28,-0.15,-1.56,-0.79,0.72,-1.15,-2.56,0.83,0.17,-0.13
1785,-0.29,-1.26,1.36,-0.56,0.25,-0.96,0.58,-1.64,0.13,-1.34,0.13,-0.06,-0.60,0.51,0.70,-0.04,-1.52,-0.73,1.23,-0.34,-0.23,0.40,-0.05,-0.19
1775,-0.41,-0.74,0.55,-0.19,0.39,0.12,0.34,-0.60,-0.32,-0.33,-1.39,-0.97,0.18,0.72,-1.24,-0.53,-1.69,0.04,-0.43,-0.36,0.42,0.49,0.03,-0.26
1765,-0.58,-2.22,1.25,-0.26,0.21,1.15,0.15,-2.85,-0.48,-0.07,0.62,-0.91,1.17,0.70,0.83,-0.10,-0.54,2.41,-0.85,-0.14,0.49,0.38,1.26,0.07
1755,-0.13,-0.99,-0.83,-0.99,-0.82,-0.47,-0.38,-1.62,-0.33,0.00,-1.54,-0.56,-0.47,-1.79,-1.09,-1.12,-1.10,1.45,-0.19,0.21,0.32,-0.33,0.03,-0.55
1745,1.38,-0.45,0.05,-0.04,-0.53,-0.99,-1.39,0.25,-0.36,-0.18,-0.57,0.73,-0.93,0.87,-0.60,-0.85,0.05,-0.51,-0.86,-0.25,-0.92,-1.62,0.87,-0.30
1735,-1.01,-0.55,0.20,0.27,-0.21,0.13,-2.02,0.17,-0.61,0.41,-1.99,-0.18,-0.13,1.70,-0.28,0.34,-0.35,-0.33,-0.71,0.72,0.03,-1.41,-0.16,-0.26
1725,0.54,-0.78,1.62,0.90,-0.77,-0.43,-1.37,-0.28,-0.43,-0.53,-0.35,0.19,-1.54,-0.31,0.79,-1.93,0.25,-1.71,0.07,0.93,0.95,0.42,0.40,-0.15
1715,-0.26,-0.74,-0.28,0.17,-0.59,0.91,-0.44,0.09,-0.10,-1.21,0.10,1.06,0.81,0.18,2.21,-1.07,-0.53,-1.11,-1.25,-0.07,0.85,-0.35,-0.28,-0.08
1705,-0.51,-0.31,-0.89,-0.75,-1.25,0.45,-1.30,-0.22,-1.71,-0.48,-0.46,-1.16,-0.37,-1.65,-0.47,-2.23,-0.94,-0.50,0.23,0.22,-0.51,-0.68,-0.82,-0.71
1695,-0.90,-0.15,-0.60,-0.95,-1.23,1.20,-0.24,-1.98,-0.73,-0.10,-0.35,0.01,-2.20,-0.95,-1.87,0.58,0.23,-0.29,0.26,0.09,-0.48,-1.22,-0.08,-0.52
1685,-0.35,1.22,0.89,0.00,-0.90,0.47,-2.32,-0.24,-0.77,-0.73,-0.20,-0.73,-0.33,0.24,-0.72,0.74,-0.63,-0.92,-0.41,-0.36,-0.56,-0.88,-0.50,-0.35
1675,-0.56,-0.19,-1.46,0.45,1.00,0.76,-1.07,-0.87,-0.03,-0.69,-0.01,-0.14,0.26,-1.44,0.13,0.96,0.16,-0.53,-0.06,-0.36,0.08,-0.16,-0.36,-0.18
1665,-0.36,-0.22,-1.32,-0.45,-0.14,-1.00,-2.01,0.32,-0.59,-1.09,-0.31,1.75,-0.07,0.07,1.09,-0.34,-1.51,0.55,0.71,0.22,-0.30,-0.20,0.91,-0.19
1655,-1.27,-0.16,-0.06,-1.73,-0.85,0.37,-0.55,-0.04,-0.14,-1.49,-0.01,0.58,-1.39,0.65,0.21,0.16,-0.82,1.07,-0.58,0.28,0.18,0.35,-0.23,-0.24
1645,0.34,-0.10,-0.42,-1.07,-1.57,0.27,-0.08,0.16,-0.24,0.24,-0.50,-0.93,-1.49,-0.44,-0.67,-0.16,-0.86,-1.36,-0.01,0.75,0.57,-1.29,-0.66,-0.41
1635,-0.75,-0.21,0.85,-1.13,0.97,1.51,-0.88,-1.05,-0.84,-0.12,-0.20,-1.50,-0.94,1.08,-0.87,-1.47,-1.33,-0.16,-0.18,0.06,-0.56,-0.69,-0.32,-0.38
1625,-0.41,-0.33,-0.51,-0.56,0.87,0.30,-0.89,-0.08,-0.53,-0.16,-0.42,-0.81,1.35,-1.12,0.22,0.08,-0.61,-0.05,0.90,-0.84,-0.07,-0.40,-1.62,-0.25
1615,1.27,-0.62,0.02,-0.85,-0.63,0.43,0.65,-0.41,-0.87,1.03,-0.98,-0.26,-0.50,0.14,1.08,0.18,-0.24,-1.63,0.24,-1.64,0.75,0.31,-0.50,-0.13
1605,1.03,-0.73,-0.88,-1.40,-0.64,1.76,0.80,-0.11,-0.92,0.08,-0.42,-0.70,1.02,-0.69,0.70,-1.23,-0.43,-1.95,0.25,-0.73,0.24,-0.69,-0.87,-0.28
1595,0.51,-0.34,-0.02,-0.69,0.45,1.40,0.95,0.29,-0.68,-1.97,-1.02,0.31,-1.20,1.49,-2.09,0.02,-0.54,-0.34,-0.36,-1.55,-0.04,0.08,-0.88,-0.27
1585,1.32,-0.03,-0.78,0.05,0.78,1.55,1.14,0.40,0.47,-0.91,-1.39,0.48,0.00,0.16,0.62,0.03,-1.05,-0.42,1.12,0.31,0.68,0.17,-0.73,0.17
1575,0.04,-0.28,-0.91,-1.11,-0.19,-0.44,0.15,1.12,3.28,0.29,0.87,-0.75,1.57,1.20,0.98,-1.09,-0.44,0.28,3.18,0.02,-0.40,-1.10,-0.17,0.27
1565,0.36,-0.53,0.18,-0.62,-0.94,-0.51,-0.32,0.39,3.45,-1.20,0.52,0.29,0.26,-1.06,-1.20,-0.21,-0.62,1.99,3.17,0.23,-1.30,-0.22,0.81,0.13
1555,0.29,-0.52,0.23,-1.26,0.77,4.60,0.00,0.64,1.56,-0.02,0.52,-0.32,-1.01,0.58,1.12,0.47,-1.78,1.22,3.47,0.25,-0.31,-0.18,0.47,0.47
1545,2.36,-0.08,-0.23,-0.21,0.09,0.24,0.91,-0.60,0.49,0.60,1.04,-0.61,0.23,0.12,0.20,0.68,-1.62,1.14,2.77,-0.92,0.28,0.06,-0.71,0.27
1535,1.30,0.35,-0.13,-0.81,1.14,0.27,0.51,0.44,2.19,-1.29,1.03,-1.86,-0.87,1.05,0.76,0.12,-1.71,0.94,-0.08,-0.23,-1.46,-1.01,-0.31,0.01
1525,-0.04,-2.34,-0.47,-0.73,-1.60,-0.45,-0.24,-0.88,1.69,-0.65,1.33,-2.25,-0.62,-0.60,-0.18,1.28,0.10,0.36,-0.64,-0.30,-2.00,-1.74,-1.52,-0.54
1515,0.54,-0.07,-0.48,-1.68,-1.10,1.79,-0.78,-0.38,1.57,-0.48,1.20,-0.70,1.17,1.89,-0.15,-1.09,-1.14,1.22,-0.30,-0.96,0.59,0.38,-1.28,-0.01
1505,0.79,0.02,-1.22,0.27,0.22,2.01,0.38,-0.13,0.54,0.47,0.82,0.05,1.10,1.48,-0.22,0.40,-1.96,1.50,-0.74,-1.28,-0.33,0.39,-0.14,0.19
1495,-0.79,0.57,-1.52,-0.59,-0.69,1.09,-0.20,0.29,1.50,-0.84,2.18,0.56,0.02,-0.53,1.07,0.62,-1.78,1.09,-0.27,-0.02,0.98,0.93,0.22,0.17
1485,0.78,0.71,-1.00,0.03,-0.07,-1.11,-0.93,-2.14,0.03,-0.87,1.39,0.38,1.41,-0.63,-0.85,-0.48,-1.43,-0.03,-0.62,-0.06,-2.18,0.34,-0.99,-0.36
1475,-0.40,0.26,-1.93,-0.18,0.61,0.84,-0.96,0.27,0.54,-0.27,1.64,-0.29,-1.12,-1.18,-1.92,0.59,-0.98,-0.76,-0.23,0.36,-0.56,1.96,-0.53,-0.18
1465,0.39,1.67,-0.94,0.26,0.31,-0.42,0.12,-0.57,0.17,1.89,1.45,-1.42,-0.65,1.42,-0.13,-1.38,0.07,-0.78,0.18,-0.26,-2.10,-1.13,-0.13,-0.09
1455,-0.87,1.27,-1.58,1.21,1.49,-0.17,-0.26,-1.57,0.14,0.79,1.28,-0.82,1.72,0.46,2.64,2.62,-0.07,-0.21,-0.16,0.08,-1.02,-2.54,-0.25,0.18
1445,0.58,1.49,-1.32,0.43,1.80,0.92,2.21,-1.45,0.53,-0.15,0.33,-1.06,-0.32,1.95,-2.01,0.50,0.45,0.70,-0.52,-0.69,-0.97,0.94,-0.13,0.18
1435,1.50,1.70,-0.23,-1.26,-0.55,0.33,1.09,0.16,1.92,-0.80,0.37,0.05,0.94,-0.05,1.07,-0.66,0.32,1.49,0.84,-0.81,0.44,1.65,0.26,0.42
1425,1.20,1.27,-0.57,-0.76,-0.99,0.99,1.02,-1.25,1.22,-0.56,-0.16,-1.30,1.04,-1.49,-0.65,-0.50,0.05,0.86,0.47,0.05,0.49,0.91,0.46,0.08
1415,-0.08,0.84,-1.86,-1.66,-0.27,0.76,0.21,-0.61,-0.42,-0.65,-0.34,0.91,1.14,1.49,1.22,2.19,-0.54,1.80,-0.89,-1.44,0.88,0.47,0.59,0.16
1405,0.58,0.66,-2.34,0.57,1.40,-0.32,0.58,0.69,0.43,-1.26,-0.01,-0.97,0.46,0.85,-0.08,0.79,0.83,0.57,-1.32,-1.37,-1.15,0.53,0.98,0.05
1395,1.58,2.36,-0.70,-0.73,-0.56,0.99,0.08,0.26,0.41,-0.41,-0.08,1.56,0.98,0.74,1.70,1.44,-0.35,-0.87,-0.86,-1.54,-0.13,-0.44,0.22,0.25
1385,1.18,0.87,1.43,-1.40,1.74,0.39,1.04,0.25,-1.49,-1.08,-0.61,0.96,-1.33,-0.83,-1.46,1.38,-0.46,-0.27,-1.51,-0.95,-0.66,-0.95,0.22,-0.15
1375,2.47,0.90,-0.28,-0.40,2.85,-0.36,-0.73,-0.11,-1.01,-0.52,-0.67,-1.00,0.79,-0.95,-2.20,-0.62,1.27,0.04,-1.10,-0.75,0.85,-0.27,-0.48,-0.10
1365,2.27,1.10,-0.09,-1.21,1.49,-1.18,1.07,0.74,-0.69,-0.23,-1.12,-1.12,1.76,-1.46,-1.24,-0.52,0.75,-0.33,-1.23,-0.85,-1.46,1.86,1.41,-0.01
1355,0.01,1.06,0.09,-0.37,0.66,-0.71,1.11,0.07,-1.30,0.74,-0.96,1.24,-0.83,-1.97,-0.77,-0.03,1.19,-0.29,-0.77,-0.12,-0.72,0.83,-0.13,-0.09
1345,-0.74,1.56,-0.52,0.34,-0.57,0.59,-1.28,2.82,-0.66,0.68,-1.24,0.60,1.68,0.11,0.72,-1.54,1.53,-0.85,-0.23,-0.48,-1.66,-1.61,-1.02,-0.08
1335,-0.09,1.57,1.55,1.23,-0.66,-0.93,-0.89,0.76,0.76,0.87,-1.16,-0.02,-3.28,-0.52,-0.08,0.54,0.24,-0.42,-0.10,-1.77,-2.68,-1.71,-0.44,-0.31
1325,0.33,1.59,1.31,-0.11,-0.49,0.69,0.83,-0.35,-0.97,0.13,-1.80,1.90,-0.70,-0.81,-0.32,1.03,0.06,-0.67,-0.86,-2.54,-1.64,-0.60,1.14,-0.12
1315,-0.16,1.60,1.08,0.86,0.00,-0.35,-0.37,-0.94,-0.05,0.20,-2.27,-1.69,0.34,-1.35,0.01,0.68,-0.20,-0.61,-0.98,-2.08,0.01,0.53,-0.49,-0.27
1305,0.06,0.97,-0.20,1.43,0.09,0.06,0.52,-0.78,-0.55,0.63,-1.47,1.39,1.39,1.38,-0.25,0.11,0.23,0.82,-0.69,-1.22,-0.53,0.01,-1.67,0.08
1295,-0.45,0.94,0.88,-0.12,-2.04,-0.60,1.13,0.79,-0.96,1.16,-1.02,0.32,0.34,0.18,-0.01,-0.88,0.03,-0.06,-1.01,-0.69,-0.08,-1.24,-1.52,-0.21
1285,-0.17,1.37,0.33,-1.44,0.08,-1.09,0.84,-0.41,-0.27,0.93,0.28,-1.18,0.73,1.26,-0.37,-0.84,-0.18,0.39,-0.47,-1.01,0.73,-0.23,-1.60,-0.10
1275,-1.06,0.62,0.99,-1.33,-0.13,-0.81,-2.49,0.57,-0.90,0.19,0.13,1.24,0.03,0.19,0.60,0.77,-0.35,0.20,-0.66,-0.89,0.49,-0.46,-1.65,-0.21
1265,-1.15,-0.14,0.47,0.17,-0.10,-0.23,0.10,-0.55,-1.17,1.75,-0.50,-1.04,-0.28,-0.50,-0.22,-1.49,0.54,-0.79,-1.05,-0.53,1.39,0.40,-0.75,-0.25
1255,1.21,0.37,0.71,1.00,0.47,-0.64,0.58,0.51,-0.42,2.94,0.51,0.83,-0.33,-0.06,0.89,-1.38,0.27,-0.02,-0.77,-0.49,0.83,0.56,-0.75,0.30
1245,-0.01,0.90,-0.04,1.43,1.45,0.03,-0.81,0.43,-0.42,0.33,0.17,0.63,-0.52,-0.91,0.95,-0.80,-0.88,-1.25,-0.79,1.07,0.37,0.48,-0.52,0.06
1235,-0.29,1.44,-0.59,1.64,2.72,-0.35,0.80,0.93,0.07,1.23,-0.16,1.06,-0.11,0.45,0.15,0.84,0.76,-1.72,-0.92,1.53,0.55,-0.51,-0.41,0.40
1225,-1.00,0.63,0.46,1.43,0.31,-1.50,0.12,-0.24,-1.08,2.27,-0.54,2.09,0.45,1.82,-0.48,-0.69,0.88,-0.23,-0.53,1.82,0.87,0.75,-0.98,0.29
1215,0.64,0.18,-0.79,0.46,1.29,-0.14,1.64,0.96,-0.27,2.53,-0.95,0.49,0.41,-0.20,1.20,0.85,0.22,-0.96,-0.87,1.39,-0.13,-1.08,-1.40,0.24
1205,-0.92,-0.26,0.01,0.79,0.33,0.36,1.67,0.44,-0.69,1.20,-0.61,0.99,0.79,0.92,0.26,0.90,1.32,-1.79,-0.31,1.42,0.41,-0.37,0.23,0.31
1195,-0.12,0.12,-0.54,1.07,-0.58,-0.55,0.05,1.40,-1.13,-1.06,0.32,-2.70,-0.76,-0.06,0.29,-0.36,1.64,-1.14,-0.44,1.72,-0.10,0.47,-0.71,-0.14
1185,-0.22,-0.43,-0.40,1.48,1.21,-1.46,-0.76,1.00,-0.08,-0.12,0.10,-1.32,-0.79,-0.93,-0.47,-0.39,1.72,-0.34,-0.34,1.66,1.39,0.64,1.10,0.10
1175,-0.91,-0.93,-0.94,1.03,-0.70,-1.21,0.50,-0.53,-0.07,-0.96,-0.13,0.12,0.21,-0.20,0.19,0.48,1.72,0.58,0.07,1.34,1.26,-1.41,1.05,0.03
1165,-1.46,-0.84,0.37,-0.24,-0.84,-0.57,0.30,1.08,-0.48,-0.88,0.28,0.25,0.13,-0.34,-1.17,3.33,1.12,1.64,0.25,1.25,1.95,-0.67,0.30,0.21
1155,-0.73,-0.75,-0.19,0.67,-1.15,-1.32,1.45,1.57,1.16,-1.17,0.66,-0.29,-1.60,-1.25,-1.56,-0.28,1.23,-0.24,1.58,0.88,0.01,-0.40,0.98,-0.03
1145,1.19,-0.66,-0.09,0.90,-0.26,-0.27,1.54,0.52,1.31,0.87,-0.16,0.53,0.65,-0.30,0.84,0.93,0.89,-1.10,1.15,0.68,0.98,1.43,0.20,0.51
1135,0.95,-0.15,-0.74,-0.21,-0.24,-1.10,-0.05,1.33,-0.84,-0.30,-0.44,0.83,-1.18,1.21,2.32,0.45,0.49,-1.91,1.47,0.31,0.19,0.76,0.97,0.18
1125,0.03,-0.47,0.09,-0.04,0.02,-0.92,-1.55,2.34,0.25,0.23,-0.72,0.48,1.43,0.44,-0.35,-0.98,1.37,-0.99,0.11,-1.04,0.64,-0.90,-1.31,-0.08
1115,-1.49,-1.73,0.29,0.24,-0.66,-0.21,-0.46,0.57,1.33,-0.83,-1.02,-0.02,-0.61,-2.30,-0.30,0.54,0.94,-0.43,0.01,0.18,1.06,-0.41,0.74,-0.20
1105,0.68,-1.71,0.89,1.09,0.86,-1.00,-1.31,0.22,0.75,-0.13,-0.28,-0.44,-0.15,-1.64,-0.06,0.59,2.13,0.85,0.74,0.82,1.46,0.40,0.77,0.24
1095,-0.98,-1.70,0.34,-1.68,-0.15,-0.60,-0.45,0.29,-0.12,2.72,0.66,-0.01,0.53,0.20,-0.16,0.21,0.90,1.88,-0.84,0.13,0.34,-0.20,0.84,0.09
1085,0.43,-1.09,2.73,-0.66,2.21,-0.81,1.60,0.38,-0.05,0.03,0.82,0.63,0.90,0.83,0.41,-0.52,0.18,0.79,-0.04,0.68,1.34,0.32,1.43,0.55
1075,1.08,-0.48,1.51,0.26,0.21,-1.06,1.07,-0.04,-1.01,0.36,0.99,-1.10,-0.14,-0.21,-1.16,-0.18,0.02,-0.29,0.43,0.47,1.78,0.00,1.24,0.16
1065,0.79,-1.09,0.54,2.47,-1.17,-1.04,-0.10,0.52,0.23,0.11,1.14,1.39,0.05,0.10,-0.95,-1.78,0.09,0.74,-0.10,0.98,1.49,0.63,0.90,0.26
1055,-0.69,-0.05,0.62,2.36,-0.30,-0.74,-0.33,-0.32,-0.80,1.28,1.10,0.11,-0.66,-0.77,-0.09,-0.58,0.30,0.22,-0.39,0.60,0.62,0.81,-1.24,0.05
1045,-0.28,0.61,-0.13,1.31,-0.06,0.46,-0.95,-1.99,-0.30,0.21,0.73,0.67,0.03,0.11,0.85,0.55,1.07,-0.35,-0.02,0.91,-0.95,0.53,-0.33,0.12
1035,-1.57,1.27,1.39,1.31,-0.29,0.00,0.33,0.96,-0.56,-0.54,0.92,1.21,-0.46,0.00,-0.36,0.79,0.95,0.54,0.43,1.44,-0.94,1.31,1.26,0.41
1025,-2.29,0.21,-1.02,2.09,0.77,0.09,0.40,-0.56,-0.40,-0.17,1.10,0.68,-1.53,-0.97,-0.42,-1.15,1.98,0.92,0.78,1.82,0.42,2.77,0.79,0.27
1015,-2.16,-0.66,0.08,1.22,-0.04,-0.65,1.16,0.41,0.24,-0.88,1.70,0.46,0.13,0.83,0.95,-0.60,1.23,-0.20,-0.13,1.63,0.05,0.94,2.19,0.34
1005,-0.74,-1.52,1.79,0.43,-1.35,-0.85,0.09,1.07,0.78,-0.21,2.59,1.59,1.81,0.56,1.22,1.57,-0.43,1.70,1.53,1.47,-0.59,-1.35,0.01,0.49
995,-1.20,-0.99,1.67,-0.64,-2.31,-0.69,0.76,1.77,0.45,1.57,1.77,1.28,-0.62,-0.53,-0.50,0.39,1.21,1.28,0.54,1.44,1.26,2.31,2.28,0.54
985,-1.95,-0.64,0.79,0.15,0.10,-0.63,-1.86,0.12,-1.30,0.44,1.77,0.69,1.24,-0.59,0.81,0.54,0.21,-0.06,0.74,0.67,0.31,1.94,3.97,0.32
975,1.92,-0.29,0.53,-0.68,0.40,0.02,0.28,1.61,0.13,0.73,1.77,-0.27,0.76,0.79,1.15,1.55,0.30,0.71,0.34,-0.72,1.36,0.05,0.59,0.57
965,0.55,-0.38,5.13,1.03,1.00,0.30,1.56,0.71,,-0.67,1.73,1.06,1.06,0.61,1.15,1.02,1.39,-0.78,0.31,-0.02,-2.56,0.27,1.30,0.72
955,0.53,-0.05,2.98,-0.87,2.86,-0.63,2.05,0.26,,1.01,1.88,1.41,1.51,4.08,1.16,0.22,0.03,-1.03,0.34,-0.68,1.00,-0.36,-0.64,0.78
945,0.03,0.12,3.77,-1.35,0.74,-0.54,2.19,1.14,,0.21,2.18,0.48,0.53,0.38,-1.01,0.03,1.57,-0.23,0.34,-0.53,0.46,0.59,-1.40,0.44
935,0.95,0.30,3.05,-1.04,1.62,-0.32,2.86,0.01,,0.24,1.96,0.66,2.67,-0.62,2.25,0.21,1.10,1.99,-0.09,-0.29,0.39,0.94,-0.64,0.83
925,2.09,-0.37,1.38,-2.58,1.72,-0.83,-1.34,-0.24,,-0.34,1.73,1.17,-0.82,1.34,0.81,0.69,1.39,-0.41,-0.31,0.32,0.28,-0.19,1.60,0.32
915,-0.49,-1.04,1.77,-1.40,0.29,-0.35,-0.19,-0.09,,-0.55,0.43,2.16,0.16,-0.35,0.76,-0.98,-0.36,-1.10,-0.23,0.70,0.32,-1.08,-0.51,-0.10
905,-0.64,-0.12,0.11,-3.56,0.69,0.89,1.57,0.48,,0.13,-0.42,0.62,-0.41,2.16,1.14,0.80,-0.85,-0.78,-0.35,0.95,-1.12,-2.22,-1.40,-0.11
895,2.83,-2.36,1.68,-0.83,1.54,-0.01,-0.65,0.06,,-0.60,-0.28,-0.30,-0.17,1.22,-0.08,0.98,-0.23,0.64,0.18,0.23,-0.84,1.84,1.54,0.29
885,0.31,-1.19,1.27,0.19,-0.01,0.34,-0.38,-0.75,,-0.32,-0.13,0.33,-1.12,-0.38,-1.01,1.07,0.13,0.37,-0.53,0.95,0.11,-0.11,0.74,-0.01
875,1.07,-0.83,1.79,-1.87,-0.88,-0.95,1.12,-0.36,,-0.35,0.17,1.66,-0.42,-0.44,-0.85,0.62,1.09,0.33,-0.03,0.64,0.60,0.64,-0.53,0.10
865,-1.04,-0.47,-0.61,-2.63,0.33,-0.37,0.81,0.40,,0.71,-0.09,0.84,0.98,-0.63,-0.52,0.69,0.57,-1.86,-0.36,1.01,1.50,-0.55,0.57,-0.03
855,-1.73,-0.10,-0.02,-0.59,1.18,0.41,0.56,0.23,,0.41,0.28,-0.73,-0.82,-0.99,-0.51,0.47,0.37,-1.46,1.30,0.83,0.29,-0.46,-0.68,-0.08
845,2.54,-0.69,1.54,0.00,0.80,-0.30,-1.00,-0.63,,0.40,0.79,-0.47,-0.58,-0.33,-0.34,1.04,-1.09,0.31,0.80,0.27,-0.92,0.26,1.79,0.19
835,0.28,-0.67,0.46,0.06,0.80,-0.67,0.38,0.54,,-0.33,1.29,1.93,-0.33,2.87,-2.36,0.88,0.12,-0.17,0.64,-0.05,-3.03,0.64,-0.32,0.13
825,2.25,0.21,0.39,0.37,0.30,-0.09,0.69,0.45,,0.12,1.92,-0.97,0.18,-0.29,-0.06,1.22,-0.77,-1.22,-0.01,-1.50,-0.99,0.69,0.06,0.13
815,4.63,0.07,1.64,-0.73,1.69,-0.24,1.87,-0.70,,-0.79,2.33,1.43,0.65,1.96,0.50,0.26,-1.51,-2.11,0.55,-0.76,0.03,-2.52,0.18,0.38
805,0.85,-0.07,1.54,-1.35,0.91,0.42,1.36,-0.18,,0.84,2.63,2.52,-0.48,-1.60,0.24,-1.07,0.63,-2.64,-0.80,0.19,-2.31,-0.67,-0.91,0.00
795,1.45,-0.21,0.84,-0.68,0.75,-0.17,0.25,0.82,,-0.95,2.72,0.36,0.06,-0.49,1.96,-1.62,0.64,-0.90,-0.47,0.77,-0.02,0.56,1.86,0.34
785,1.33,-0.10,-0.38,-1.54,-0.35,1.38,-0.07,-0.43,,0.48,2.81,1.05,0.19,2.11,0.37,-0.91,0.08,-0.53,-0.22,0.49,-0.54,0.13,0.97,0.29
775,0.76,-0.62,1.34,-2.32,1.31,2.44,1.05,-0.59,,-0.36,2.11,-0.65,0.79,-0.29,0.61,2.04,0.21,-0.59,0.19,0.41,0.54,-1.21,-0.91,0.28
765,0.12,-0.43,0.26,0.22,0.82,2.81,1.11,-0.32,,-1.55,2.22,-0.12,-0.15,1.12,2.38,1.94,-0.16,0.47,-0.55,-0.40,0.28,0.13,0.44,0.48
755,-0.05,-0.80,-0.24,-1.07,0.62,-0.30,0.18,-1.08,,-1.83,2.81,1.26,-0.60,2.69,0.50,0.97,0.72,0.61,0.10,-0.16,-0.20,0.11,-0.61,0.17
745,0.55,-1.17,0.01,-0.23,2.17,-0.72,0.14,-0.45,,,2.76,2.10,1.94,2.77,0.42,0.90,0.76,-0.78,-0.26,-0.26,-2.03,0.01,0.60,0.44
735,0.35,-1.54,-0.29,-1.90,0.83,-0.13,0.71,-0.26,,,2.70,0.55,-0.16,-0.39,1.69,-0.29,1.06,-0.09,0.15,0.45,-0.10,2.24,0.27,0.28
725,,-0.71,0.59,-4.91,1.18,-0.09,0.55,-0.18,,,1.85,0.58,0.18,1.49,1.43,0.99,0.46,0.50,-1.07,-0.39,-0.36,0.49,-1.12,0.07
